,,,,,UDR
,,,,,memory,,,,,,,,,,,,CPU
,r/s,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,
,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,
 128 big records ,12542.4169256,24222.9873349,20486.2704408,3932.71581275 ,896.0,935.0,928.0,16.2900787802,1819.0,2048.0,1949.5,94.7363006807,1198.5,1531.85714286,1362.3,106.495324688 ,22.89,26.39,24.21,1.29774291239,68.69,92.05,83.73,7.95863974977,34.6466666667,41.4585714286,38.779047619,2.50104943242
 256 big records ,21954.8365109,41374.3740531,39491.3890847,7463.0193387 ,1005.0,1225.0,1120.0,87.6485405849,1762.0,2112.0,2012.5,129.9898714,1299.8,1657.85714286,1476.7,136.533118855 ,18.41,27.85,21.94,3.86040800952,32.01,40.61,37.58,2.91186824336,26.932,33.72,31.166,2.25207748202
 256 small records ,27980.8335176,57523.1351319,46065.7114782,11818.4253863 ,2497.0,2879.0,2713.5,142.301674855,3242.0,3475.0,3454.0,98.402066374,2932.2,3218.0,3090.20833333,109.644091099 ,24.0,31.8,30.12,3.4736345039,36.2,41.5,37.54,1.89801738664,31.2833333333,34.695,34.107,1.37458183709
 512 big records ,23988.2828534,65652.1632964,46782.2609974,13625.6532518 ,1067.0,1402.0,1233.0,132.647527933,1538.0,1981.0,1775.0,201.898654445,1430.0,1690.75,1485.0,97.4887707209 ,18.46,28.89,24.295,4.35126380109,25.34,85.78,39.73,25.2329264388,23.4333333333,45.78,33.334,7.46281963519
 512 small records ,35327.0382094,106205.265161,76483.4792856,25935.3111872 ,2599.0,3071.0,2780.5,183.586219526,3324.0,3612.0,3449.0,116.555566148,2860.0,3275.75,3128.875,168.421335633 ,23.4,31.8,30.4,3.47098689136,32.53,40.28,39.94,3.2306655661,28.7466666667,36.0025,34.40875,2.68015365438
 1024 big records ,21191.0829293,80193.6745276,69103.4655142,21713.2321052 ,1179.0,1926.0,1680.0,311.496388422,1652.0,2180.0,2003.5,240.843033253,1520.33333333,2005.0,1743.16666667,210.528303719 ,20.06,27.62,23.735,2.71812741914,35.97,70.63,38.66,16.7887077128,27.2266666667,42.67,31.3566666667,6.14266877095
 1024 small records ,69914.7615137,137911.278905,107376.35029,22847.9030116 ,2602.0,3133.0,2761.0,181.370339361,2960.0,3634.0,3398.0,242.987242463,2781.0,3325.66666667,3075.83333333,189.509386067 ,23.27,36.09,28.275,5.11825621346,35.07,44.69,36.835,3.5591033515,29.21,37.2066666667,33.405,3.47461103605
 2048 small records ,75132.1613994,235904.756281,112593.684599,60008.6747386 ,2570.0,3119.0,2620.0,210.804569843,3258.0,3574.0,3442.5,123.389896939,2843.33333333,3373.33333333,3025.16666667,186.531220701 ,22.92,35.78,28.38,4.69178182215,38.82,84.44,42.4,17.5514120989,31.0066666667,47.1066666667,37.3283333333,5.41409833128
 2048 big records ,55655.0243662,100520.781656,95248.9949745,21717.1857214 ,1459.0,1908.0,1603.5,166.840842322,1564.0,2215.0,2014.0,234.401934008,1500.33333333,1959.5,1825.0,175.157846802 ,19.46,23.93,22.475,1.540424184,34.1,40.48,37.45,2.29075024101,26.8466666667,30.9175,28.8391666667,1.87254093685
 4096 small records ,47236.3660772,266819.681392,236272.017359,83921.365183 ,2621.0,3071.0,2887.0,166.449291578,3223.0,3701.0,3586.5,185.410895041,2900.0,3414.5,3250.5,179.651465549 ,21.85,34.12,27.805,3.99969373828,33.36,44.93,39.035,3.86315285745,27.605,37.0275,34.135,3.30792926794
